antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Mouse, USB Cable","Laptop, Monitor, Keyboard",0.13,0.1,0.1,0.7692307692307693,7.6923076923076925,1.0,0.08700000000000001,3.900000000000001,1.0,0.7692307692307693,0.7435897435897436,0.8846153846153846
"Laptop, Monitor","Mouse, USB Cable, Keyboard",0.13,0.1,0.1,0.7692307692307693,7.6923076923076925,1.0,0.08700000000000001,3.900000000000001,1.0,0.7692307692307693,0.7435897435897436,0.8846153846153846
"Mouse, Monitor","USB Cable, Keyboard",0.13,0.1,0.1,0.7692307692307693,7.6923076923076925,1.0,0.08700000000000001,3.900000000000001,1.0,0.7692307692307693,0.7435897435897436,0.8846153846153846
"Mouse, USB Cable","Monitor, Keyboard",0.13,0.1,0.1,0.7692307692307693,7.6923076923076925,1.0,0.08700000000000001,3.900000000000001,1.0,0.7692307692307693,0.7435897435897436,0.8846153846153846
"Laptop, USB Cable","Monitor, Keyboard",0.13,0.1,0.1,0.7692307692307693,7.6923076923076925,1.0,0.08700000000000001,3.900000000000001,1.0,0.7692307692307693,0.7435897435897436,0.8846153846153846
"Laptop, Monitor, Mouse","USB Cable, Keyboard",0.13,0.1,0.1,0.7692307692307693,7.6923076923076925,1.0,0.08700000000000001,3.900000000000001,1.0,0.7692307692307693,0.7435897435897436,0.8846153846153846
"Laptop, USB Cable, Mouse","Monitor, Keyboard",0.13,0.1,0.1,0.7692307692307693,7.6923076923076925,1.0,0.08700000000000001,3.900000000000001,1.0,0.7692307692307693,0.7435897435897436,0.8846153846153846
"Laptop, Monitor","USB Cable, Keyboard",0.13,0.1,0.1,0.7692307692307693,7.6923076923076925,1.0,0.08700000000000001,3.900000000000001,1.0,0.7692307692307693,0.7435897435897436,0.8846153846153846
"Laptop, USB Cable","Mouse, Monitor, Keyboard",0.13,0.1,0.1,0.7692307692307693,7.6923076923076925,1.0,0.08700000000000001,3.900000000000001,1.0,0.7692307692307693,0.7435897435897436,0.8846153846153846
"Mouse, Monitor","Laptop, USB Cable, Keyboard",0.13,0.1,0.1,0.7692307692307693,7.6923076923076925,1.0,0.08700000000000001,3.900000000000001,1.0,0.7692307692307693,0.7435897435897436,0.8846153846153846
"USB Cable, Keyboard","Laptop, Monitor, Mouse",0.1,0.13,0.1,1.0,7.692307692307692,1.0,0.08700000000000001,inf,0.9666666666666667,0.7692307692307693,1.0,0.8846153846153846
"USB Cable, Keyboard","Mouse, Monitor",0.1,0.13,0.1,1.0,7.692307692307692,1.0,0.08700000000000001,inf,0.9666666666666667,0.7692307692307693,1.0,0.8846153846153846
"Monitor, Keyboard","Mouse, USB Cable",0.1,0.13,0.1,1.0,7.692307692307692,1.0,0.08700000000000001,inf,0.9666666666666667,0.7692307692307693,1.0,0.8846153846153846
"Laptop, Monitor","Mouse, USB Cable",0.13,0.13,0.13,1.0,7.692307692307692,1.0,0.1131,inf,1.0,1.0,1.0,1.0
"Laptop, USB Cable","Mouse, Monitor",0.13,0.13,0.13,1.0,7.692307692307692,1.0,0.1131,inf,1.0,1.0,1.0,1.0
"Mouse, Monitor","Laptop, USB Cable",0.13,0.13,0.13,1.0,7.692307692307692,1.0,0.1131,inf,1.0,1.0,1.0,1.0
"Mouse, USB Cable","Laptop, Monitor",0.13,0.13,0.13,1.0,7.692307692307692,1.0,0.1131,inf,1.0,1.0,1.0,1.0
"Monitor, Keyboard","Laptop, USB Cable, Mouse",0.1,0.13,0.1,1.0,7.692307692307692,1.0,0.08700000000000001,inf,0.9666666666666667,0.7692307692307693,1.0,0.8846153846153846
"Laptop, Monitor, Keyboard","Mouse, USB Cable",0.1,0.13,0.1,1.0,7.692307692307692,1.0,0.08700000000000001,inf,0.9666666666666667,0.7692307692307693,1.0,0.8846153846153846
"Laptop, USB Cable, Keyboard","Mouse, Monitor",0.1,0.13,0.1,1.0,7.692307692307692,1.0,0.08700000000000001,inf,0.9666666666666667,0.7692307692307693,1.0,0.8846153846153846
"USB Cable, Keyboard","Laptop, Monitor",0.1,0.13,0.1,1.0,7.692307692307692,1.0,0.08700000000000001,inf,0.9666666666666667,0.7692307692307693,1.0,0.8846153846153846
"Mouse, Monitor, Keyboard","Laptop, USB Cable",0.1,0.13,0.1,1.0,7.692307692307692,1.0,0.08700000000000001,inf,0.9666666666666667,0.7692307692307693,1.0,0.8846153846153846
"Monitor, Keyboard","Laptop, USB Cable",0.1,0.13,0.1,1.0,7.692307692307692,1.0,0.08700000000000001,inf,0.9666666666666667,0.7692307692307693,1.0,0.8846153846153846
"Mouse, USB Cable, Keyboard","Laptop, Monitor",0.1,0.13,0.1,1.0,7.692307692307692,1.0,0.08700000000000001,inf,0.9666666666666667,0.7692307692307693,1.0,0.8846153846153846
"Mouse, Monitor",USB Cable,0.13,0.30666666666666664,0.13,1.0,3.2608695652173916,1.0,0.09013333333333334,inf,0.7969348659003832,0.4239130434782609,1.0,0.7119565217391305
"Laptop, Monitor, Keyboard",USB Cable,0.1,0.30666666666666664,0.1,1.0,3.2608695652173916,1.0,0.06933333333333334,inf,0.7703703703703704,0.3260869565217392,1.0,0.6630434782608696
"Laptop, Monitor",USB Cable,0.13,0.30666666666666664,0.13,1.0,3.2608695652173916,1.0,0.09013333333333334,inf,0.7969348659003832,0.4239130434782609,1.0,0.7119565217391305
"Mouse, Monitor, Keyboard",USB Cable,0.1,0.30666666666666664,0.1,1.0,3.2608695652173916,1.0,0.06933333333333334,inf,0.7703703703703704,0.3260869565217392,1.0,0.6630434782608696
"Monitor, Keyboard",USB Cable,0.1,0.30666666666666664,0.1,1.0,3.2608695652173916,1.0,0.06933333333333334,inf,0.7703703703703704,0.3260869565217392,1.0,0.6630434782608696
"Laptop, Monitor, Mouse",USB Cable,0.13,0.30666666666666664,0.13,1.0,3.2608695652173916,1.0,0.09013333333333334,inf,0.7969348659003832,0.4239130434782609,1.0,0.7119565217391305
"Laptop, Monitor, Mouse, Keyboard",USB Cable,0.1,0.30666666666666664,0.1,1.0,3.2608695652173916,1.0,0.06933333333333334,inf,0.7703703703703704,0.3260869565217392,1.0,0.6630434782608696
"USB Cable, Keyboard",Monitor,0.1,0.31,0.1,1.0,3.2258064516129035,1.0,0.069,inf,0.7666666666666666,0.32258064516129026,1.0,0.6612903225806452
"Laptop, USB Cable, Keyboard",Monitor,0.1,0.31,0.1,1.0,3.2258064516129035,1.0,0.069,inf,0.7666666666666666,0.32258064516129026,1.0,0.6612903225806452
"Laptop, USB Cable, Mouse",Monitor,0.13,0.31,0.13,1.0,3.2258064516129035,1.0,0.0897,inf,0.793103448275862,0.41935483870967744,1.0,0.7096774193548387
"Laptop, USB Cable",Monitor,0.13,0.31,0.13,1.0,3.2258064516129035,1.0,0.0897,inf,0.793103448275862,0.41935483870967744,1.0,0.7096774193548387
"Mouse, USB Cable, Keyboard",Monitor,0.1,0.31,0.1,1.0,3.2258064516129035,1.0,0.069,inf,0.7666666666666666,0.32258064516129026,1.0,0.6612903225806452
"Laptop, USB Cable, Mouse, Keyboard",Monitor,0.1,0.31,0.1,1.0,3.2258064516129035,1.0,0.069,inf,0.7666666666666666,0.32258064516129026,1.0,0.6612903225806452
"Mouse, USB Cable",Monitor,0.13,0.31,0.13,1.0,3.2258064516129035,1.0,0.0897,inf,0.793103448275862,0.41935483870967744,1.0,0.7096774193548387
USB Cable,Monitor,0.30666666666666664,0.31,0.27,0.8804347826086958,2.8401122019635348,1.0,0.17493333333333336,5.770909090909097,0.9344729344729346,0.7788461538461539,0.8267170762444866,0.8757012622720899
Monitor,USB Cable,0.31,0.30666666666666664,0.27,0.870967741935484,2.8401122019635348,1.0,0.17493333333333336,5.373333333333338,0.9389872964752194,0.7788461538461539,0.8138957816377173,0.8757012622720899
