customer_id,transaction_date,amount
CUST_103,2026-02-18,132.31
CUST_093,2026-06-22,252.92
CUST_015,2026-08-09,82.78
CUST_107,2026-01-30,96.98
CUST_072,2026-05-24,90.53
CUST_021,2026-06-17,141.9
CUST_103,2026-01-19,28.05
CUST_122,2026-01-18,13.65
CUST_075,2026-01-01,54.17
CUST_088,2026-03-19,156.36
CUST_117,2026-04-25,37.06
CUST_100,2026-06-24,144.29
CUST_104,2026-07-13,430.44
CUST_131,2026-08-08,21.83
CUST_150,2026-04-23,143.99
CUST_053,2026-04-24,80.38
CUST_002,2026-08-10,253.12
CUST_088,2026-06-15,33.4
CUST_038,2026-06-28,151.56
CUST_130,2026-03-04,228.5
CUST_021,2026-05-12,357.21
CUST_058,2026-05-09,147.96
CUST_022,2026-01-08,92.5
CUST_089,2026-06-06,125.43
CUST_049,2026-02-24,253.82
CUST_059,2026-04-13,111.45
CUST_015,2026-05-11,13.7
CUST_051,2026-02-01,330.75
CUST_108,2026-01-10,150.36
CUST_055,2026-07-21,145.43
CUST_064,2026-07-30,39.15
CUST_131,2026-04-20,139.06
CUST_051,2026-06-11,70.08
CUST_135,2026-05-04,136.4
CUST_021,2026-08-13,23.53
CUST_073,2026-03-28,138.7
CUST_018,2026-02-24,903.01
CUST_132,2026-08-08,15.93
CUST_089,2026-02-01,463.58
CUST_060,2026-06-27,72.69
CUST_014,2026-05-15,255.52
CUST_009,2026-04-03,193.0
CUST_090,2026-01-08,110.45
CUST_053,2026-03-06,170.94
CUST_130,2026-02-26,262.96
CUST_084,2026-03-08,72.13
CUST_092,2026-08-04,57.53
CUST_111,2026-08-03,142.17
CUST_008,2026-07-06,207.93
CUST_035,2026-03-13,182.4
CUST_081,2026-02-23,201.83
CUST_050,2026-03-08,78.64
CUST_104,2026-02-20,214.34
CUST_132,2026-04-07,25.37
CUST_002,2026-04-02,104.36
CUST_134,2026-01-08,10.69
CUST_054,2026-06-11,57.09
CUST_106,2026-02-04,64.77
CUST_004,2026-04-06,70.54
CUST_054,2026-03-29,152.68
CUST_146,2026-03-19,69.03
CUST_044,2026-02-01,81.46
CUST_014,2026-04-30,42.55
CUST_095,2026-02-15,66.07
CUST_048,2026-05-24,40.94
CUST_015,2026-07-15,19.12
CUST_040,2026-06-14,120.99
CUST_082,2026-07-01,142.39
CUST_111,2026-08-01,125.95
CUST_053,2026-05-22,84.72
CUST_024,2026-08-11,67.32
CUST_124,2026-02-24,248.83
CUST_041,2026-06-25,97.85
CUST_015,2026-07-29,88.28
CUST_045,2026-01-07,13.12
